QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20184,04029931,1,0,1,140,D,1,D,10,D,410,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04030031,1,0,1,120,D,1,D,10,D,425,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04030073,1,0,1,140,D,1,D,09,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031071,1,0,1,195,D,1,D,09,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031114,1,0,1,220,D,1,D,08,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,A
20184,04031114,1,1,1,100,D,1,D,08,D,1276,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031114,1,2,1,120,D,1,D,08,D,131,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031114,1,3,1,160,D,1,D,08,D,598,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031114,1,4,1,195,D,1,D,08,D,1995,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031261,1,0,1,120,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031281,1,0,1,120,D,1,D,08,D,450,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031291,1,0,1,120,D,1,D,10,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031511,1,0,1,100,D,1,D,08,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031611,1,0,1,195,D,1,D,08,D,645,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04031611,2,0,1,160,D,1,D,10,D,400,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04032531,1,0,1,120,D,1,D,08,D,157,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04033501,1,0,1,160,D,1,D,10,D,408,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04033681,1,0,1,140,D,1,D,09,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04033731,1,0,1,220,D,1,D,10,D,,H,,A,,H,180,D,195,D,160,D,,A,,A,,A,,A,,A,,A
20184,04033731,1,1,1,195,D,1,D,10,D,1866,E,,A,125,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04033731,1,2,1,160,D,1,D,10,D,1134,E,,A,175,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04033804,1,0,1,120,D,1,D,09,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04034171,1,0,1,195,D,1,D,08,D,2300,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04034171,2,0,1,160,D,1,D,09,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04034201,1,0,1,195,D,1,D,09,D,506,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04034274,1,0,1,195,D,1,D,09,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04034301,1,0,1,140,D,1,D,08,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04035011,1,0,1,120,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04035011,2,0,1,140,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04035011,3,0,1,195,D,1,D,10,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04035641,1,0,1,140,D,1,D,09,D,1196,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
