QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,MISPURCH,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20181,03642004,28,0,1,,A,,A,,A,,A,,A,,A,900,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642014,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642024,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642034,30,0,1,,A,,A,,A,,A,,A,,A,1500,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642054,26,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642064,37,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642104,67,0,1,,A,80,D,,A,,A,,A,,A,120,D,,A,120,D,,A,40,D,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642114,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642174,31,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,25,D,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20181,03642194,27,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,,A,,A,1,D,,,A,,,A,,,A,A,A,A
