QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03821201,74,3,1,11,D,,B,,A,78,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821201,75,0,1,10,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821221,13,0,1,11,D,48,D,,A,48,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821283,30,0,1,12,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821283,31,0,1,10,D,200,D,,A,200,D,110,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821301,20,0,1,10,D,150,D,,A,150,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821311,26,0,1,10,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821311,27,0,1,10,D,65,D,,A,65,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821411,52,0,1,10,D,62,D,,A,62,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821441,19,0,1,12,D,644,D,,A,644,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821451,23,0,1,11,D,210,D,,A,210,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821461,30,0,1,11,D,65,D,,A,65,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821541,19,0,1,12,D,55,D,,A,55,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821561,48,0,1,10,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821561,49,0,1,11,D,134,D,,A,134,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821561,50,0,1,11,D,288,D,,A,288,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821581,34,0,1,10,D,,C,,A,24,F,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821631,35,0,1,11,D,34,D,,A,34,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821631,36,0,1,10,D,34,D,,A,34,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821631,37,0,1,11,D,34,D,,A,34,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821644,24,0,1,10,D,21,D,,A,21,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821644,25,0,1,11,D,21,D,,A,21,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821644,26,0,1,12,D,21,D,,A,21,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821644,27,0,1,10,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821671,18,0,1,10,D,38,D,,A,38,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821671,19,0,1,10,D,173,D,,A,173,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821671,20,0,1,11,D,43,D,,A,43,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821681,26,0,1,12,D,105,D,,A,105,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
