QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRMISCX,TRMISCX_,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20184,04037012,15,0,1,1,D,2,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,35,D,,A
20184,04037021,29,0,1,1,D,1,D,1,D,08,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,220,D,30,D,,A,1000,D,,A,,A,700,D,70,D,50,D
20184,04037041,67,0,1,1,D,1,D,1,D,08,D,21,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,12,D,,A,,A,,A,64,D,850,D,,A,,A,,A,,A,,A,,A,,A,260,D,180,D,,A,,A,80,D,40,D,,A,,A,,A,60,D,300,D,350,D,400,D
20184,04037041,68,0,1,1,D,2,D,1,D,08,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,4781,T,,A,,A,,A,,A,,A,7300,D,,A,100,D
20184,04037171,19,0,1,2,D,1,D,2,D,10,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,20,D,,A,,A,,A,,A,100,D,80,D,20,D
20184,04037201,14,0,1,1,D,1,D,1,D,08,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,120,D,300,D
20184,04037241,29,0,1,1,D,1,D,1,D,10,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,33,D,50,D,,A
20184,04037291,16,0,1,1,D,1,D,1,D,09,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,200,D,,A,,A,,A,,A,,A,,A,50,D,,A
20184,04037291,17,0,1,1,D,2,D,2,D,09,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,10,D,,A,,A,,A,20,D,,A,,A,,A,,A,,A,0,D
20184,04037331,22,0,1,2,D,1,D,1,D,09,D,7,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1100,D,,A,,A,,A,10,D,,A,,A,200,D,80,D
