QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20191,04077311,8,0,1,01,D,100,D,.0825,D,20000,D,30,D,150,D,,A,,A,,A,,A,0,F,98,F,98,F,99,F,53,F,52,F,51,F,,A,01,F,1994,D,1,D,,A,7564,F,7466,F,7367,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04077791,7,0,1,01,D,100,D,.0492,D,10000,D,5,D,365,D,,B,,B,,B,,B,177,D,180,D,181,D,182,D,8,D,7,D,6,D,,A,08,D,2014,D,1,D,,A,1861,D,1680,D,1499,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04078911,14,0,1,01,D,100,D,.0300,D,226250,T,30,F,716,D,,A,,A,,A,,A,0,F,379,F,380,F,381,F,338,F,337,F,336,F,,A,01,F,2010,D,2,D,,A,148487,V,147606,V,146722,V,01,D,1,D,,A,,A,2100,D,700,D,700,D,,C,,A
20191,04079471,12,0,1,01,D,100,D,.0550,D,13000,D,1,D,1116,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,,A,,A,,A,,A,11,D,2018,D,2,D,,A,13000,D,13000,D,13000,D,01,D,1,D,,A,,A,0,D,14,D,157,D,,A,2,D
20191,04079931,51,0,1,01,D,100,D,.0410,D,80000,D,20,D,650,D,,B,,B,,B,,B,161,D,246,D,246,D,247,D,122,D,122,D,121,D,,A,08,D,2015,D,1,D,,A,71265,D,71019,D,70773,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04092551,35,0,1,01,D,100,D,.0485,D,40000,D,20,D,433,D,,B,,B,,B,,B,172,D,157,D,157,D,158,D,104,D,104,D,103,D,,A,06,D,2009,D,1,D,,A,25809,D,25652,D,25495,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04092821,14,0,1,01,D,100,D,.0450,F,115787,F,10,F,1200,F,,A,,A,,A,,A,0,F,780,F,783,F,786,F,420,F,417,F,414,F,,A,06,F,2018,F,1,F,,A,111929,F,111149,F,110366,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04094531,22,0,1,01,D,100,D,.0440,D,69000,D,15,D,550,D,,B,,B,,B,,B,26,D,306,D,307,D,308,D,218,D,217,D,216,D,,A,02,D,2016,D,1,D,,A,59512,D,59206,D,58899,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04094671,8,0,1,01,D,100,D,.0475,D,25000,D,15,D,194,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,07,D,2017,D,2,D,,A,23426,D,23324,D,23222,D,01,D,1,D,,A,,A,576,D,576,D,576,D,1,D,2,D
20191,04095521,10,0,1,01,D,100,D,.0475,D,9538,D,10,D,200,D,,A,,A,,A,6,D,100,D,,A,,A,62,D,,A,,A,38,D,,A,01,D,2019,D,1,D,,A,,A,,A,9538,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
