QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBGRPON,APBPURCH,APBP_RCH
20181,03848721,2,0,1,480,D,1,D,11,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848731,1,0,1,640,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848741,1,0,1,640,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848741,2,0,1,645,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848741,3,0,1,460,D,1,D,11,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848741,4,0,1,460,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848741,5,0,1,310,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848741,6,0,1,440,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848741,7,0,1,500,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848791,1,0,1,460,D,1,D,01,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848831,1,0,1,750,D,1,D,11,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848981,1,0,1,230,D,1,D,11,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848981,2,0,1,660,D,1,D,11,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849051,1,0,1,230,D,1,D,01,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849051,2,0,1,230,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849051,3,0,1,660,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849051,4,0,1,440,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849221,1,0,1,700,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03849381,1,0,1,240,D,1,D,12,D,55,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
