QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03761272,6,0,1,470,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03761344,4,0,1,450,D,1,D,12,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03761462,17,0,2,460,D,1,D,10,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03761922,3,0,1,450,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03762552,6,0,1,470,D,1,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03763354,22,0,1,450,D,1,D,12,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03763354,23,0,1,450,D,1,D,11,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03763532,13,0,1,470,D,1,D,11,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03763622,4,0,1,470,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03764042,9,0,1,450,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03764412,17,0,1,460,D,1,D,12,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03764412,18,0,1,450,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03764532,7,0,2,450,D,1,D,10,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
