QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03664834,16,0,1,170,D,01,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664834,17,0,1,170,D,02,D,1,D,166,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664834,18,0,1,170,D,12,D,1,D,166,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664874,20,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664874,21,0,1,260,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664874,22,0,1,260,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664874,23,0,1,260,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664884,21,0,1,140,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664884,22,0,1,140,D,12,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664884,23,0,1,370,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664884,24,0,1,390,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664884,25,0,1,390,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664974,20,0,1,170,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664974,21,0,1,250,D,01,D,1,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664974,22,0,1,410,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665014,19,0,1,160,D,02,D,1,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665014,20,0,1,330,D,12,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665014,21,0,2,330,D,12,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665054,9,0,1,180,D,13,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665054,10,0,1,260,D,12,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665074,13,0,1,160,D,02,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665134,7,0,1,240,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665184,18,0,1,100,D,01,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665194,9,0,1,240,D,13,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665264,9,0,1,140,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665264,10,0,1,170,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665264,11,0,1,180,D,13,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665294,18,0,1,140,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665294,19,0,1,340,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
